EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4
4287.692383,4232.94873,4288.846191,4317.307617,4343.589844,4284.230957,4284.102539,4291.538574,4279.871582,4262.94873,4442.563965,4381.410156,4415.128418,4401.410156
4274.743652,4228.077148,4276.282227,4307.94873,4342.563965,4283.461426,4287.307617,4290.384766,4275.128418,4259.230957,4415.641113,4365.256348,4370.897461,4378.717773
4257.563965,4218.461426,4259.743652,4290.641113,4341.666504,4284.230957,4296.794922,4292.692383,4266.922852,4249.102539,4388.461426,4349.230957,4348.205078,4360
4246.282227,4212.307617,4245.897461,4278.717773,4339.743652,4284.102539,4295.641113,4291.538574,4265,4243.974121,4385.384766,4339.102539,4366.794922,4354.230957
4243.205078,4204.358887,4238.846191,4273.974121,4335.384766,4281.025879,4286.153809,4281.153809,4265.384766,4246.282227,4379.102539,4325.384766,4366.922852,4346.666504
4246.025879,4206.794922,4244.487305,4273.589844,4333.461426,4280.512695,4285.512695,4269.230957,4261.922852,4239.615234,4370.128418,4319.487305,4349.743652,4341.794922
4248.717773,4217.307617,4251.153809,4277.179688,4336.666504,4282.820313,4288.589844,4263.333496,4252.307617,4224.230957,4366.794922,4317.05127,4345.897461,4341.153809
4247.436035,4214.487305,4248.974121,4275.128418,4335.384766,4282.05127,4282.692383,4265.897461,4246.922852,4218.333496,4361.794922,4315,4337.179688,4334.230957
4245,4206.282227,4250.512695,4264.358887,4327.94873,4280.512695,4280.512695,4283.205078,4262.05127,4229.230957,4367.563965,4335.897461,4324.743652,4335.128418
4254.487305,4212.179688,4264.358887,4263.205078,4328.589844,4283.461426,4286.922852,4297.94873,4282.692383,4249.230957,4390.512695,4367.307617,4340.512695,4357.436035
4270,4216.538574,4276.153809,4273.077148,4333.717773,4282.436035,4281.794922,4287.692383,4280.384766,4259.487305,4405.769043,4369.871582,4364.743652,4376.153809
4281.666504,4218.717773,4287.436035,4286.025879,4336.025879,4275.641113,4272.94873,4277.563965,4272.692383,4263.077148,4413.205078,4368.717773,4367.820313,4384.615234
4302.307617,4241.410156,4312.179688,4314.230957,4349.615234,4281.410156,4278.077148,4285.897461,4282.05127,4272.05127,4437.692383,4396.153809,4382.563965,4408.589844
4324.102539,4266.282227,4330.897461,4341.410156,4367.94873,4293.333496,4285.512695,4285.641113,4284.871582,4277.05127,4456.666504,4411.666504,4403.846191,4431.538574
4322.436035,4263.717773,4327.436035,4339.358887,4363.974121,4288.589844,4283.077148,4268.461426,4269.358887,4269.743652,4441.538574,4400.384766,4390.897461,4424.230957
